learning_rate,kernel_size,num_hidden_layers,input_layer_out_channels,hidden_units,intermediate_activation_fn,interpolation,align_corners,normalize,window_function,coordinate_mapping,filter_extent,radius_search_ignore_query_points,use_dense_layer_for_centers,ray/tune/train_loss,ray/tune/train_loss_step,ray/tune/val_loss,ray/tune/val_loss_epoch,ray/tune/train_loss_epoch,ray/tune/epoch,ray/tune/step,ray/tune/time_this_iter_s,ray/tune/should_checkpoint,ray/tune/done,ray/tune/time_since_restore,ray/tune/iterations_since_restore
0.0028472529820115834,8.0,3.0,32.0,64.0,GeLU,linear,True,True,None,identity,0.12574419077161608,True,,0.15285667777061462,0.17744465172290802,0.15197128057479858,0.15197128057479858,0.15285667777061462,9.0,3300.0,180.0560760498047,1.0,1.0,1948.9896240234375,10.0
0.0010795143989975294,4.0,2.0,64.0,64.0,GeLU,linear_border,True,True,poly6,ball_to_cube_volume_preserving,0.15330709170309448,True,True,0.22432821989059448,0.1742253601551056,0.21041883528232574,0.21041883528232574,0.22432821989059448,14.0,4950.0,325.63726806640625,1.0,1.0,2109.99658203125,15.0
0.00221927826150471,3.0,1.0,16.0,64.0,leaky_relu,linear,True,False,gaussian,identity,0.14905086801824088,False,True,0.24082551896572113,0.21988774836063385,0.23075807094573975,0.23075807094573975,0.24082551896572113,14.0,4950.0,252.86050415039062,1.0,1.0,2707.7939453125,15.0
0.004911197605784536,3.0,2.0,64.0,48.0,tanh,linear,False,False,gaussian,ball_to_cube_volume_preserving,0.15174970381791023,False,True,0.2718948423862457,0.23680204153060913,0.2525908648967743,0.2525908648967743,0.2718948423862457,14.0,4950.0,307.6187438964844,1.0,1.0,4635.3974609375,15.0
0.0005510828096481375,3.0,4.0,32.0,256.0,GeLU,linear,False,True,poly6,identity,0.12379103399593415,True,,0.2778487801551819,0.3132205307483673,0.26787278056144714,0.26787278056144714,0.2778487801551819,9.0,3300.0,146.3218231201172,1.0,1.0,950.9180297851562,10.0
0.00025984536010126253,4.0,4.0,8.0,32.0,tanh,linear,False,False,gaussian,ball_to_cube_radial,0.11867533718235362,True,True,0.305171400308609,0.2773456573486328,0.2904145419597626,0.2904145419597626,0.305171400308609,14.0,4950.0,380.0376892089844,1.0,1.0,5635.37451171875,15.0
0.0026865494774873854,3.0,4.0,8.0,64.0,relu,linear,False,True,None,ball_to_cube_radial,0.2625833808322801,False,,0.38424256443977356,0.4130210280418396,0.38475432991981506,0.38475432991981506,0.38424256443977356,9.0,3300.0,81.88720703125,1.0,1.0,884.668701171875,10.0
0.00785247541872406,3.0,3.0,4.0,64.0,GeLU,linear,True,True,None,identity,0.16668397826961334,False,,0.4556061327457428,0.5273393392562866,0.4516955316066742,0.4516955316066742,0.4556061327457428,3.0,1320.0,139.24098205566406,1.0,1.0,587.1690063476562,4.0
0.00036939559837603287,16.0,1.0,32.0,48.0,GeLU,linear,True,False,poly6,ball_to_cube_volume_preserving,0.24917636283843037,False,False,0.6652987599372864,0.5702796578407288,0.5957207083702087,0.5957207083702087,0.6652987599372864,1.0,660.0,7644.119140625,1.0,1.0,15453.6884765625,2.0
0.0016999838543349489,4.0,0.0,64.0,128.0,relu,linear,True,True,None,identity,0.18121558400970245,False,False,0.6733682751655579,0.5884695053100586,0.6612871885299683,0.6612871885299683,0.6733682751655579,14.0,4950.0,44.104976654052734,1.0,1.0,664.9794921875,15.0
