Name,Accelerator,Align Corners,Batch Size,Cache,Callbacks,Coordinate Mapping,Dataset Dir,Device,Enable Progress Bar,Filter Extent,Hidden Units,Input Layer Out Channels,Intermediate Activation Fn,Interpolation,Kernel Size,Learning Rate,Limit Train Batches,Limit Train Batches,Limit Val Batches,Limit Val Batches,Logger,Max Epochs,Mode,Module Class,Monitor,Normalize,Num Epochs,Num Hidden Layers,Num Samples,Out Units,Radius Search Ignore Query Points,Save Top K,Shuffle,Split,Train Dataloaders,Use Dense Layer For Centers,Val Dataloaders,Window Function,Number Of Params,Number Of Trainable Params,Timestamp,Time This Iter S,Done,Training Iteration,Trial Id,Date,Time Total S,Pid,Hostname,Node Ip,Config,Time Since Restore,Iterations Since Restore,Report On,Train Loss,Train Loss Step,Val Loss,Val Loss Epoch,Train Loss Epoch,Epoch,Step,Should Checkpoint
00051_51,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7f7624324c70>'],identity,datasets/data/dam_break_preprocessed/train,cuda,False,0.13050048138304296,128,4,ReLU,linear,4,0.0008844339157389754,0.1,0.1,0.1,0.1,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f7624324b50>,25,min,<class 'models.cconv.CConvModel'>,val_loss,False,25,4,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7f7624324cd0>,True,<torch.utils.data.dataloader.DataLoader object at 0x7f7624324d00>,gaussian,3306146,3306146,2023-07-31 17:08:43,1.706090688705444,True,26,e1526_00051,2023-07-31_19-08-43,770.5159771442413,11901,Jakob-PC-N,172.31.53.133,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 25, 'num_samples': 100, 'learning_rate': 0.0008844339157380001, 'batch_size': 2, 'kernel_size': 4, 'num_hidden_layers': 4, 'input_layer_out_channels': 4, 'hidden_units': 128, 'intermediate_activation_fn': 'ReLU', 'interpolation': 'linear', 'window_function': 'gaussian', 'coordinate_mapping': 'identity', 'filter_extent': 0.13050048138304202, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': True, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 0.1, 'limit_val_batches': 0.1}}, '_trainer_init_config': {'max_epochs': 25, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f73902569e0>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 0.1, 'limit_val_batches': 0.1, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7f73902547c0>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f73902544c0>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f739394d180>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",770.5159771442413,26,train_epoch_end,0.179306626319885,0.136083245277404,0.16056390106678,0.16056390106678,0.179306626319885,7.0,2640.0,True
00093_93,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7f7624324c70>'],ball_to_cube_radial,datasets/data/dam_break_preprocessed/train,cuda,False,0.17020607576174915,32,64,Leaky_ReLU,nearest_neighbor,8,0.00031530819304034427,0.1,0.1,0.1,0.1,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f7624324b50>,25,min,<class 'models.cconv.CConvModel'>,val_loss,False,25,3,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7f7624324cd0>,True,<torch.utils.data.dataloader.DataLoader object at 0x7f7624324d00>,gaussian,4481762,4481762,2023-07-31 19:35:44,5.178834676742554,True,26,e1526_00093,2023-07-31_21-35-44,3801.8279225826263,22343,Jakob-PC-N,172.31.53.133,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 25, 'num_samples': 100, 'learning_rate': 0.00031530819304000004, 'batch_size': 2, 'kernel_size': 8, 'num_hidden_layers': 3, 'input_layer_out_channels': 64, 'hidden_units': 32, 'intermediate_activation_fn': 'Leaky_ReLU', 'interpolation': 'nearest_neighbor', 'window_function': 'gaussian', 'coordinate_mapping': 'ball_to_cube_radial', 'filter_extent': 0.170206075761749, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': True, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 0.1, 'limit_val_batches': 0.1}}, '_trainer_init_config': {'max_epochs': 25, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f7386fde7a0>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 0.1, 'limit_val_batches': 0.1, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7f7386fdf430>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f7386fdcf40>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f7389244c10>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",3801.8279225826263,26,train_epoch_end,0.200909450650215,0.18390463292598702,0.19961087405681602,0.19961087405681602,0.200909450650215,7.0,2640.0,True
00031_31,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7f7624324c70>'],ball_to_cube_radial,datasets/data/dam_break_preprocessed/train,cuda,False,0.1521728862350572,64,64,ReLU,linear,4,0.004354773748273789,0.1,0.1,0.1,0.1,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f7624324b50>,25,min,<class 'models.cconv.CConvModel'>,val_loss,False,25,1,100,1,True,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7f7624324cd0>,True,<torch.utils.data.dataloader.DataLoader object at 0x7f7624324d00>,poly6,836290,836290,2023-07-31 16:30:04,2.086520433425903,True,26,e1526_00031,2023-07-31_18-30-04,745.6976430416107,6838,Jakob-PC-N,172.31.53.133,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 25, 'num_samples': 100, 'learning_rate': 0.004354773748273, 'batch_size': 2, 'kernel_size': 4, 'num_hidden_layers': 1, 'input_layer_out_channels': 64, 'hidden_units': 64, 'intermediate_activation_fn': 'ReLU', 'interpolation': 'linear', 'window_function': 'poly6', 'coordinate_mapping': 'ball_to_cube_radial', 'filter_extent': 0.152172886235057, 'radius_search_ignore_query_points': True, 'use_dense_layer_for_centers': True, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 0.1, 'limit_val_batches': 0.1}}, '_trainer_init_config': {'max_epochs': 25, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f739d2ad0c0>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 0.1, 'limit_val_batches': 0.1, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7f739d2aed10>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f739d2ae3e0>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f73c718fc70>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",745.6976430416107,26,train_epoch_end,0.214342132210731,0.19346624612808203,0.208959326148033,0.208959326148033,0.214342132210731,7.0,2640.0,True
00087_87,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7f7624324c70>'],ball_to_cube_volume_preserving,datasets/data/dam_break_preprocessed/train,cuda,False,0.1649469623582501,16,64,Tanh,linear,8,0.0038586590874130646,0.1,0.1,0.1,0.1,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f7624324b50>,25,min,<class 'models.cconv.CConvModel'>,val_loss,False,25,2,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7f7624324cd0>,False,<torch.utils.data.dataloader.DataLoader object at 0x7f7624324d00>,poly6,1978194,1978194,2023-07-31 19:01:42,2.468111753463745,True,26,e1526_00087,2023-07-31_21-01-42,4032.3592944145203,19992,Jakob-PC-N,172.31.53.133,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 25, 'num_samples': 100, 'learning_rate': 0.0038586590874130004, 'batch_size': 2, 'kernel_size': 8, 'num_hidden_layers': 2, 'input_layer_out_channels': 64, 'hidden_units': 16, 'intermediate_activation_fn': 'Tanh', 'interpolation': 'linear', 'window_function': 'poly6', 'coordinate_mapping': 'ball_to_cube_volume_preserving', 'filter_extent': 0.16494696235825002, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': False, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 0.1, 'limit_val_batches': 0.1}}, '_trainer_init_config': {'max_epochs': 25, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f7380fb7160>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 0.1, 'limit_val_batches': 0.1, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7f7380fb5cc0>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f7380fb5c30>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f7380fb6470>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",4032.3592944145203,26,train_epoch_end,0.22954073548316903,0.21287950873374903,0.219037532806396,0.219037532806396,0.22954073548316903,7.0,2640.0,True
00030_30,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7f7624324c70>'],ball_to_cube_radial,datasets/data/dam_break_preprocessed/train,cuda,False,0.13459645086644328,128,16,GeLU,nearest_neighbor,4,0.0013943025651048848,0.1,0.1,0.1,0.1,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f7624324b50>,25,min,<class 'models.cconv.CConvModel'>,val_loss,False,25,2,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7f7624324cd0>,False,<torch.utils.data.dataloader.DataLoader object at 0x7f7624324d00>,None,1481474,1481474,2023-07-31 16:26:01,1.197832345962524,True,26,e1526_00030,2023-07-31_18-26-01,940.786838054657,6525,Jakob-PC-N,172.31.53.133,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 25, 'num_samples': 100, 'learning_rate': 0.001394302565104, 'batch_size': 2, 'kernel_size': 4, 'num_hidden_layers': 2, 'input_layer_out_channels': 16, 'hidden_units': 128, 'intermediate_activation_fn': 'GeLU', 'interpolation': 'nearest_neighbor', 'window_function': 'None', 'coordinate_mapping': 'ball_to_cube_radial', 'filter_extent': 0.134596450866443, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': False, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 0.1, 'limit_val_batches': 0.1}}, '_trainer_init_config': {'max_epochs': 25, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f76242140a0>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 0.1, 'limit_val_batches': 0.1, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7f7624214ac0>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f76241a2860>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f741c2634f0>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",940.786838054657,26,train_epoch_end,0.22602176666259702,0.209577247500419,0.22341449558734802,0.22341449558734802,0.22602176666259702,7.0,2640.0,True
00098_98,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7f7624324c70>'],identity,datasets/data/dam_break_preprocessed/train,cuda,False,0.10908142189478415,64,32,GeLU,linear,3,0.0007886987745556474,0.1,0.1,0.1,0.1,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f7624324b50>,25,min,<class 'models.cconv.CConvModel'>,val_loss,False,25,4,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7f7624324cd0>,True,<torch.utils.data.dataloader.DataLoader object at 0x7f7624324d00>,None,525570,525570,2023-07-31 19:35:42,1.7743322849273682,True,26,e1526_00098,2023-07-31_21-35-42,1781.1838672161102,23863,Jakob-PC-N,172.31.53.133,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 25, 'num_samples': 100, 'learning_rate': 0.0007886987745550001, 'batch_size': 2, 'kernel_size': 3, 'num_hidden_layers': 4, 'input_layer_out_channels': 32, 'hidden_units': 64, 'intermediate_activation_fn': 'GeLU', 'interpolation': 'linear', 'window_function': 'None', 'coordinate_mapping': 'identity', 'filter_extent': 0.10908142189478401, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': True, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 0.1, 'limit_val_batches': 0.1}}, '_trainer_init_config': {'max_epochs': 25, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f738794f5e0>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 0.1, 'limit_val_batches': 0.1, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7f738794d390>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f738794c760>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f738eb14f70>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",1781.1838672161102,26,train_epoch_end,0.24692460894584603,0.24117012321949002,0.23351491987705203,0.23351491987705203,0.24692460894584603,7.0,2640.0,True
00076_76,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7f7624324c70>'],ball_to_cube_volume_preserving,datasets/data/dam_break_preprocessed/train,cuda,False,0.12682747804836164,128,32,GeLU,linear,4,0.0015942729252893695,0.1,0.1,0.1,0.1,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f7624324b50>,25,min,<class 'models.cconv.CConvModel'>,val_loss,False,25,3,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7f7624324cd0>,False,<torch.utils.data.dataloader.DataLoader object at 0x7f7624324d00>,poly6,2954370,2954370,2023-07-31 17:46:25,2.124349355697632,True,26,e1526_00076,2023-07-31_19-46-25,1212.6245048046112,17332,Jakob-PC-N,172.31.53.133,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 25, 'num_samples': 100, 'learning_rate': 0.001594272925289, 'batch_size': 2, 'kernel_size': 4, 'num_hidden_layers': 3, 'input_layer_out_channels': 32, 'hidden_units': 128, 'intermediate_activation_fn': 'GeLU', 'interpolation': 'linear', 'window_function': 'poly6', 'coordinate_mapping': 'ball_to_cube_volume_preserving', 'filter_extent': 0.126827478048361, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': False, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 0.1, 'limit_val_batches': 0.1}}, '_trainer_init_config': {'max_epochs': 25, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f73875ba740>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 0.1, 'limit_val_batches': 0.1, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7f73875bbf10>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f73875b8700>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f738a93eb00>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",1212.6245048046112,26,train_epoch_end,0.300357520580291,0.283649325370788,0.26908895373344405,0.26908895373344405,0.300357520580291,7.0,2640.0,True
00002_2,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7f7624324c70>'],ball_to_cube_radial,datasets/data/dam_break_preprocessed/train,cuda,False,0.18004133572488026,128,64,GeLU,nearest_neighbor,4,0.0003285607271051301,0.1,0.1,0.1,0.1,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f7624324b50>,25,min,<class 'models.cconv.CConvModel'>,val_loss,False,25,3,100,1,True,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7f7624324cd0>,True,<torch.utils.data.dataloader.DataLoader object at 0x7f7624324d00>,poly6,3769730,3769730,2023-07-31 15:48:36,0.58354902267456,True,26,e1526_00002,2023-07-31_17-48-36,1203.3613665103912,845,Jakob-PC-N,172.31.53.133,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 25, 'num_samples': 100, 'learning_rate': 0.000328560727105, 'batch_size': 2, 'kernel_size': 4, 'num_hidden_layers': 3, 'input_layer_out_channels': 64, 'hidden_units': 128, 'intermediate_activation_fn': 'GeLU', 'interpolation': 'nearest_neighbor', 'window_function': 'poly6', 'coordinate_mapping': 'ball_to_cube_radial', 'filter_extent': 0.18004133572488001, 'radius_search_ignore_query_points': True, 'use_dense_layer_for_centers': True, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 0.1, 'limit_val_batches': 0.1}}, '_trainer_init_config': {'max_epochs': 25, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f76241da350>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 0.1, 'limit_val_batches': 0.1, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7f76241db730>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f76241da590>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f76241b9b40>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",1203.3613665103912,26,train_epoch_end,0.271431237459182,0.241958454251289,0.276347309350967,0.276347309350967,0.271431237459182,7.0,2640.0,True
00001_1,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7f7624324c70>'],identity,datasets/data/dam_break_preprocessed/train,cuda,False,0.124536804917705,64,8,ReLU,linear,4,0.00021489519034752146,0.1,0.1,0.1,0.1,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f7624324b50>,25,min,<class 'models.cconv.CConvModel'>,val_loss,False,25,3,100,1,True,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7f7624324cd0>,False,<torch.utils.data.dataloader.DataLoader object at 0x7f7624324d00>,None,641026,641026,2023-07-31 15:46:10,0.6107356548309321,True,26,e1526_00001,2023-07-31_17-46-10,1057.4359991550446,844,Jakob-PC-N,172.31.53.133,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 25, 'num_samples': 100, 'learning_rate': 0.000214895190347, 'batch_size': 2, 'kernel_size': 4, 'num_hidden_layers': 3, 'input_layer_out_channels': 8, 'hidden_units': 64, 'intermediate_activation_fn': 'ReLU', 'interpolation': 'linear', 'window_function': 'None', 'coordinate_mapping': 'identity', 'filter_extent': 0.12453680491770501, 'radius_search_ignore_query_points': True, 'use_dense_layer_for_centers': False, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 0.1, 'limit_val_batches': 0.1}}, '_trainer_init_config': {'max_epochs': 25, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f741c104490>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 0.1, 'limit_val_batches': 0.1, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7f741c1054b0>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f741c104370>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f762436be20>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",1057.4359991550446,26,train_epoch_end,0.290568619966506,0.268993973731994,0.287969529628753,0.287969529628753,0.290568619966506,7.0,2640.0,True
00038_38,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7f7624324c70>'],ball_to_cube_volume_preserving,datasets/data/dam_break_preprocessed/train,cuda,False,0.18257357485082867,32,16,Leaky_ReLU,nearest_neighbor,4,0.000644553824011042,0.1,0.1,0.1,0.1,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f7624324b50>,25,min,<class 'models.cconv.CConvModel'>,val_loss,False,25,2,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7f7624324cd0>,False,<torch.utils.data.dataloader.DataLoader object at 0x7f7624324d00>,gaussian,176930,176930,2023-07-31 16:48:20,1.5701613426208492,True,26,e1526_00038,2023-07-31_18-48-20,1004.4969210624695,8175,Jakob-PC-N,172.31.53.133,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 25, 'num_samples': 100, 'learning_rate': 0.000644553824011, 'batch_size': 2, 'kernel_size': 4, 'num_hidden_layers': 2, 'input_layer_out_channels': 16, 'hidden_units': 32, 'intermediate_activation_fn': 'Leaky_ReLU', 'interpolation': 'nearest_neighbor', 'window_function': 'gaussian', 'coordinate_mapping': 'ball_to_cube_volume_preserving', 'filter_extent': 0.182573574850828, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': False, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 0.1, 'limit_val_batches': 0.1}}, '_trainer_init_config': {'max_epochs': 25, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f741c106800>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 0.1, 'limit_val_batches': 0.1, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7f741c106590>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f741c107dc0>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7f739c317fd0>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",1004.4969210624695,26,train_epoch_end,0.31971520185470503,0.31053066253662104,0.31886473298072804,0.31886473298072804,0.31971520185470503,7.0,2640.0,True
