Name,Accelerator,Align Corners,Batch Size,Cache,Callbacks,Coordinate Mapping,Dataset Dir,Device,Enable Progress Bar,Filter Extent,Hidden Units,Input Layer Out Channels,Intermediate Activation Fn,Interpolation,Kernel Size,Learning Rate,Limit Train Batches,Limit Train Batches,Limit Val Batches,Limit Val Batches,Logger,Max Epochs,Mode,Module Class,Monitor,Normalize,Num Epochs,Num Hidden Layers,Num Samples,Out Units,Radius Search Ignore Query Points,Save Top K,Shuffle,Split,Train Dataloaders,Use Dense Layer For Centers,Val Dataloaders,Window Function,Number Of Params,Number Of Trainable Params,Timestamp,Time This Iter S,Done,Training Iteration,Trial Id,Date,Time Total S,Pid,Hostname,Node Ip,Config,Time Since Restore,Iterations Since Restore,Report On,Train Loss,Train Loss Step,Val Loss,Val Loss Epoch,Train Loss Epoch,Epoch,Step,Should Checkpoint,Val Loss Best
0e385726_32,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7fbca87268c0>'],identity,datasets/data/dam_break_preprocessed/train,cuda,False,0.15709785666787787,43.94966970671585,26.547638230421327,ReLU,linear,6.652753932032602,0.000660038750482854,1000,1000,250,250,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbca87267a0>,6,min,<class 'models.cconv.CConvModel'>,val_loss,False,6,3.1208396721978398,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726920>,True,<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726950>,None,1585011,1585011,2023-08-07 23:18:46,3.704097270965576,False,20,0,2023-08-08_01-18-46,1591.719959974289,18461,Jakob-PC-N,172.28.195.161,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 6, 'num_samples': 100, 'learning_rate': 0.0006600387504820001, 'batch_size': 2, 'kernel_size': 6.652753932032602, 'num_hidden_layers': 3.120839672197839, 'input_layer_out_channels': 26.547638230421327, 'hidden_units': 43.94966970671585, 'intermediate_activation_fn': 'ReLU', 'interpolation': 'linear', 'window_function': 'None', 'coordinate_mapping': 'identity', 'filter_extent': 0.157097856667877, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': True, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 1000, 'limit_val_batches': 250}}, '_trainer_init_config': {'max_epochs': 6, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbaecee0d60>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 1000, 'limit_val_batches': 250, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7fbadddabdc0>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbadddabd00>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbb35e49660>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",1591.719959974289,20,train_epoch_end,0.11336529254913301,0.111305207014083,0.10829572379589,0.10829572379589,0.11336529254913301,5.0,6000.0,True,0.10829572379589
c6f6562d_41,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7fbca87268c0>'],identity,datasets/data/dam_break_preprocessed/train,cuda,False,0.16098721307364006,31.532913434219083,18.401513315661823,ReLU,linear,5.57672895477993,0.001301391485273583,1000,1000,250,250,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbca87267a0>,6,min,<class 'models.cconv.CConvModel'>,val_loss,False,6,3.4070106391032935,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726920>,True,<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726950>,None,475334,475334,2023-08-08 00:15:21,4.322290658950806,False,20,c6f6562d,2023-08-08_02-15-22,1237.7626144886017,20913,Jakob-PC-N,172.28.195.161,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 6, 'num_samples': 100, 'learning_rate': 0.001301391485273, 'batch_size': 2, 'kernel_size': 5.57672895477993, 'num_hidden_layers': 3.407010639103293, 'input_layer_out_channels': 18.401513315661823, 'hidden_units': 31.532913434219083, 'intermediate_activation_fn': 'ReLU', 'interpolation': 'linear', 'window_function': 'None', 'coordinate_mapping': 'identity', 'filter_extent': 0.16098721307364, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': True, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 1000, 'limit_val_batches': 250}}, '_trainer_init_config': {'max_epochs': 6, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbaf6005f60>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 1000, 'limit_val_batches': 250, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7fbaf6006980>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbaf6005c30>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbad5c3a4a0>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",1237.7626144886017,20,train_epoch_end,0.151832431554794,0.149491071701049,0.137654468417167,0.137654468417167,0.151832431554794,5.0,6000.0,True,0.137654468417167
b98357d2_2,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7fbca87268c0>'],identity,datasets/data/dam_break_preprocessed/train,cuda,False,0.12755086958186593,58.44263114297183,23.02787529358022,ReLU,linear,5.832290311184182,0.00031939006691565424,1000,1000,250,250,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbca87267a0>,6,min,<class 'models.cconv.CConvModel'>,val_loss,False,6,3.909729556485983,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726920>,True,<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726950>,None,1382822,1382822,2023-08-07 19:17:22,0.9495098590850831,False,20,b98357d2,2023-08-07_21-17-22,1445.7491252422333,9535,Jakob-PC-N,172.28.195.161,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 6, 'num_samples': 100, 'learning_rate': 0.00031939006691500003, 'batch_size': 2, 'kernel_size': 5.832290311184182, 'num_hidden_layers': 3.909729556485983, 'input_layer_out_channels': 23.02787529358022, 'hidden_units': 58.44263114297183, 'intermediate_activation_fn': 'ReLU', 'interpolation': 'linear', 'window_function': 'None', 'coordinate_mapping': 'identity', 'filter_extent': 0.127550869581865, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': True, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 1000, 'limit_val_batches': 250}}, '_trainer_init_config': {'max_epochs': 6, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbca86382e0>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 1000, 'limit_val_batches': 250, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7fbb342fd150>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbb342fd780>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbb342ffd90>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",1445.7491252422333,20,train_epoch_end,0.15088339149951902,0.146493315696716,0.143725872039794,0.143725872039794,0.15088339149951902,5.0,6000.0,True,0.143725872039794
7dbf69cb_8,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7fbca87268c0>'],identity,datasets/data/dam_break_preprocessed/train,cuda,False,0.12447050774497839,60.556699701860325,14.469499540000424,ReLU,linear,5.650089137415928,0.0020079242413185835,1000,1000,250,250,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbca87267a0>,6,min,<class 'models.cconv.CConvModel'>,val_loss,False,6,2.5602040635334324,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726920>,True,<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726950>,None,793034,793034,2023-08-07 19:54:21,1.525553464889526,False,20,7dbf69cb,2023-08-07_21-54-21,1275.9861681461334,11202,Jakob-PC-N,172.28.195.161,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 6, 'num_samples': 100, 'learning_rate': 0.002007924241318, 'batch_size': 2, 'kernel_size': 5.650089137415928, 'num_hidden_layers': 2.560204063533432, 'input_layer_out_channels': 14.469499540000424, 'hidden_units': 60.556699701860325, 'intermediate_activation_fn': 'ReLU', 'interpolation': 'linear', 'window_function': 'None', 'coordinate_mapping': 'identity', 'filter_extent': 0.124470507744978, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': True, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 1000, 'limit_val_batches': 250}}, '_trainer_init_config': {'max_epochs': 6, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbb35e4aa70>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 1000, 'limit_val_batches': 250, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7fbb35e492d0>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbb35e4af20>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbb12915870>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",1275.9861681461334,20,train_epoch_end,0.153066188097,0.15097969770431502,0.14720164239406502,0.14720164239406502,0.153066188097,5.0,6000.0,True,0.14720164239406502
6d06f66d_47,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7fbca87268c0>'],identity,datasets/data/dam_break_preprocessed/train,cuda,False,0.1424851355730266,54.91936545671931,21.628812551133315,ReLU,linear,4.65611204609362,0.0015493734541130854,1000,1000,250,250,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbca87267a0>,6,min,<class 'models.cconv.CConvModel'>,val_loss,False,6,2.604189742204227,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726920>,True,<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726950>,None,425318,425318,2023-08-08 00:52:15,4.830663204193115,False,20,6d06f66d,2023-08-08_02-52-16,1115.1292839050293,22513,Jakob-PC-N,172.28.195.161,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 6, 'num_samples': 100, 'learning_rate': 0.0015493734541130002, 'batch_size': 2, 'kernel_size': 4.65611204609362, 'num_hidden_layers': 2.604189742204227, 'input_layer_out_channels': 21.628812551133315, 'hidden_units': 54.91936545671931, 'intermediate_activation_fn': 'ReLU', 'interpolation': 'linear', 'window_function': 'None', 'coordinate_mapping': 'identity', 'filter_extent': 0.142485135573026, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': True, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 1000, 'limit_val_batches': 250}}, '_trainer_init_config': {'max_epochs': 6, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbabe8aef20>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 1000, 'limit_val_batches': 250, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7fbabe8ac400>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbabe8ac5b0>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbabe8ac310>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",1115.1292839050293,20,train_epoch_end,0.16311235725879603,0.14938020706176702,0.15049281716346702,0.15049281716346702,0.16311235725879603,5.0,6000.0,True,0.15049281716346702
48d1ef13_51,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7fbca87268c0>'],identity,datasets/data/dam_break_preprocessed/train,cuda,False,0.13642255015523483,27.400609346812974,19.727764498194276,ReLU,linear,5.121606135828051,0.0021267105409265006,1000,1000,250,250,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbca87267a0>,6,min,<class 'models.cconv.CConvModel'>,val_loss,False,6,3.2264809478195065,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726920>,True,<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726950>,None,400340,400340,2023-08-08 01:15:13,5.517434358596802,False,20,48d1ef13,2023-08-08_03-15-14,1333.2910697460175,23441,Jakob-PC-N,172.28.195.161,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 6, 'num_samples': 100, 'learning_rate': 0.002126710540926, 'batch_size': 2, 'kernel_size': 5.121606135828051, 'num_hidden_layers': 3.226480947819506, 'input_layer_out_channels': 19.727764498194276, 'hidden_units': 27.400609346812974, 'intermediate_activation_fn': 'ReLU', 'interpolation': 'linear', 'window_function': 'None', 'coordinate_mapping': 'identity', 'filter_extent': 0.13642255015523402, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': True, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 1000, 'limit_val_batches': 250}}, '_trainer_init_config': {'max_epochs': 6, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbad5c38160>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 1000, 'limit_val_batches': 250, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7fbad5c3a7d0>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbad5c38be0>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbad5c391b0>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",1333.2910697460175,20,train_epoch_end,0.162764742970466,0.14785996079444802,0.15301264822483002,0.15301264822483002,0.162764742970466,5.0,6000.0,True,0.15301264822483002
afa6a764_63,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7fbca87268c0>'],identity,datasets/data/dam_break_preprocessed/train,cuda,False,0.15198245995017406,55.91445811712538,14.948971713037881,ReLU,linear,5.971618553431446,0.0014657969573899966,1000,1000,250,250,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbca87267a0>,6,min,<class 'models.cconv.CConvModel'>,val_loss,False,6,1.7222980665008136,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726920>,True,<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726950>,None,312214,312214,2023-08-08 02:42:32,5.926818609237671,False,20,afa6a764,2023-08-08_04-42-32,1014.2533931732178,26954,Jakob-PC-N,172.28.195.161,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 6, 'num_samples': 100, 'learning_rate': 0.0014657969573890002, 'batch_size': 2, 'kernel_size': 5.971618553431446, 'num_hidden_layers': 1.7222980665008132, 'input_layer_out_channels': 14.948971713037881, 'hidden_units': 55.91445811712538, 'intermediate_activation_fn': 'ReLU', 'interpolation': 'linear', 'window_function': 'None', 'coordinate_mapping': 'identity', 'filter_extent': 0.151982459950174, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': True, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 1000, 'limit_val_batches': 250}}, '_trainer_init_config': {'max_epochs': 6, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbabb988250>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 1000, 'limit_val_batches': 250, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7fbabb988400>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbabb98bd90>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbab6927d30>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",1014.2533931732178,20,train_epoch_end,0.173395723104476,0.160051420331001,0.162194564938545,0.162194564938545,0.173395723104476,5.0,6000.0,True,0.162194564938545
d6a2c44d_21,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7fbca87268c0>'],identity,datasets/data/dam_break_preprocessed/train,cuda,False,0.17701309302051355,64.07245138810367,14.619392721417483,ReLU,linear,5.099481912766999,0.001835047555847814,1000,1000,250,250,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbca87267a0>,6,min,<class 'models.cconv.CConvModel'>,val_loss,False,6,2.7139072202263246,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726920>,True,<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726950>,None,877218,877218,2023-08-07 22:01:26,2.840881109237671,False,20,d6a2c44d,2023-08-08_00-01-26,1337.44726395607,15565,Jakob-PC-N,172.28.195.161,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 6, 'num_samples': 100, 'learning_rate': 0.0018350475558470002, 'batch_size': 2, 'kernel_size': 5.099481912766999, 'num_hidden_layers': 2.713907220226324, 'input_layer_out_channels': 14.619392721417483, 'hidden_units': 64.07245138810367, 'intermediate_activation_fn': 'ReLU', 'interpolation': 'linear', 'window_function': 'None', 'coordinate_mapping': 'identity', 'filter_extent': 0.17701309302051302, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': True, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 1000, 'limit_val_batches': 250}}, '_trainer_init_config': {'max_epochs': 6, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbaecee1b70>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 1000, 'limit_val_batches': 250, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7fbaecee02e0>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbaecee2950>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbae8c76890>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",1337.44726395607,20,train_epoch_end,0.183997347950935,0.18523643910884802,0.16343225538730602,0.16343225538730602,0.183997347950935,5.0,6000.0,True,0.16343225538730602
572f54f2_34,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7fbca87268c0>'],identity,datasets/data/dam_break_preprocessed/train,cuda,False,0.12851470292713443,31.58899570036464,18.825405375374693,ReLU,linear,6.994614994072094,0.0005729835795525416,1000,1000,250,250,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbca87267a0>,6,min,<class 'models.cconv.CConvModel'>,val_loss,False,6,3.088584972248852,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726920>,True,<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726950>,None,818495,818495,2023-08-07 23:25:29,3.727622509002685,False,20,572f54f2,2023-08-08_01-25-29,1529.7820928096771,18918,Jakob-PC-N,172.28.195.161,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 6, 'num_samples': 100, 'learning_rate': 0.000572983579552, 'batch_size': 2, 'kernel_size': 6.994614994072094, 'num_hidden_layers': 3.088584972248852, 'input_layer_out_channels': 18.825405375374693, 'hidden_units': 31.58899570036464, 'intermediate_activation_fn': 'ReLU', 'interpolation': 'linear', 'window_function': 'None', 'coordinate_mapping': 'identity', 'filter_extent': 0.12851470292713402, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': True, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 1000, 'limit_val_batches': 250}}, '_trainer_init_config': {'max_epochs': 6, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbad5c3bb80>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 1000, 'limit_val_batches': 250, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7fbad5c39120>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbad5c3a260>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbae8c75d80>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",1529.7820928096771,20,train_epoch_end,0.170554354786872,0.16609779000282202,0.163584515452384,0.163584515452384,0.170554354786872,5.0,6000.0,True,0.163584515452384
57a59ddd_46,gpu,True,2,False,['<utils.callbacks.LogParametersCallback object at 0x7fbca87268c0>'],identity,datasets/data/dam_break_preprocessed/train,cuda,False,0.16777981985693108,38.74780328662189,27.744238739830568,ReLU,linear,5.242082618881179,0.0010559191999387325,1000,1000,250,250,<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbca87267a0>,6,min,<class 'models.cconv.CConvModel'>,val_loss,False,6,1.2755777619040738,100,1,False,1,True,"[0.7, 0.15, 0.15]",<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726920>,True,<torch.utils.data.dataloader.DataLoader object at 0x7fbca8726950>,None,419910,419910,2023-08-08 00:44:43,4.6436522006988525,False,20,57a59ddd,2023-08-08_02-44-43,993.6813099384308,22258,Jakob-PC-N,172.28.195.161,"{'_module_class': ""<class 'models.cconv.CConvModel'>"", '_module_init_config': {'hparams': {'num_epochs': 6, 'num_samples': 100, 'learning_rate': 0.0010559191999380002, 'batch_size': 2, 'kernel_size': 5.242082618881179, 'num_hidden_layers': 1.275577761904073, 'input_layer_out_channels': 27.744238739830568, 'hidden_units': 38.74780328662189, 'intermediate_activation_fn': 'ReLU', 'interpolation': 'linear', 'window_function': 'None', 'coordinate_mapping': 'identity', 'filter_extent': 0.16777981985693102, 'radius_search_ignore_query_points': False, 'use_dense_layer_for_centers': True, 'out_units': 1, 'align_corners': True, 'normalize': False, 'dataset_dir': 'datasets/data/dam_break_preprocessed/train', 'data_split': [0.7000000000000001, 0.15, 0.15], 'shuffle': True, 'cache': False, 'device': 'cuda', 'limit_train_batches': 1000, 'limit_val_batches': 250}}, '_trainer_init_config': {'max_epochs': 6, 'logger': '<pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fbabb98b3a0>', 'accelerator': 'gpu', 'enable_progress_bar': False, 'limit_train_batches': 1000, 'limit_val_batches': 250, 'callbacks': ['<utils.callbacks.LogParametersCallback object at 0x7fbabb98abc0>']}, '_trainer_fit_params': {'train_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbabb988f10>', 'val_dataloaders': '<torch.utils.data.dataloader.DataLoader object at 0x7fbad1aa78b0>'}, '_strategy_config': {}, '_model_checkpoint_config': {'monitor': 'val_loss', 'mode': 'min', 'save_top_k': 1}}",993.6813099384308,20,train_epoch_end,0.184217020869255,0.17342825233936301,0.16825741529464702,0.16825741529464702,0.184217020869255,5.0,6000.0,True,0.16825741529464702
